Local time,Open,High,Low,Close,Volume
10.02.2025 00:00:00.000 GMT+1000,0.62696,0.62696,0.62696,0.62696,0
10.02.2025 04:00:00.000 GMT+1000,0.62696,0.62696,0.62696,0.62696,0
10.02.2025 08:00:00.000 GMT+1000,0.62326,0.62684,0.62326,0.62543,14369.260000000007
10.02.2025 12:00:00.000 GMT+1000,0.62543,0.62768,0.62535,0.62713,9101.899999999998
10.02.2025 16:00:00.000 GMT+1000,0.62716,0.62820,0.62666,0.62781,15002.57000000001
10.02.2025 20:00:00.000 GMT+1000,0.62780,0.62836,0.62678,0.62820,12309.410000000009
11.02.2025 00:00:00.000 GMT+1000,0.62820,0.62869,0.62729,0.62761,16974.449999999993
11.02.2025 04:00:00.000 GMT+1000,0.62760,0.62808,0.62743,0.62761,9255.600000000004
11.02.2025 08:00:00.000 GMT+1000,0.62754,0.62829,0.62638,0.62720,9322.090000000002
11.02.2025 12:00:00.000 GMT+1000,0.62719,0.62762,0.62599,0.62753,10610.310000000003
11.02.2025 16:00:00.000 GMT+1000,0.62750,0.62866,0.62730,0.62763,16652.980000000007
11.02.2025 20:00:00.000 GMT+1000,0.62763,0.62834,0.62688,0.62783,15012.33
12.02.2025 00:00:00.000 GMT+1000,0.62782,0.62964,0.62779,0.62907,17685.279999999995
12.02.2025 04:00:00.000 GMT+1000,0.62908,0.63015,0.62859,0.62937,9701.890000000003
12.02.2025 08:00:00.000 GMT+1000,0.62926,0.63007,0.62878,0.63005,7244.669999999997
12.02.2025 12:00:00.000 GMT+1000,0.63007,0.63089,0.62877,0.62914,11242.220000000005
12.02.2025 16:00:00.000 GMT+1000,0.62914,0.62933,0.62760,0.62775,14966.330000000009
12.02.2025 20:00:00.000 GMT+1000,0.62776,0.62819,0.62376,0.62432,19598.920000000002
13.02.2025 00:00:00.000 GMT+1000,0.62432,0.63051,0.62347,0.63025,38186.71000000002
13.02.2025 04:00:00.000 GMT+1000,0.63026,0.63055,0.62763,0.62785,11755.920000000002
13.02.2025 08:00:00.000 GMT+1000,0.62786,0.62860,0.62735,0.62818,7115.089999999997
13.02.2025 12:00:00.000 GMT+1000,0.62820,0.62987,0.62756,0.62961,14302.83
13.02.2025 16:00:00.000 GMT+1000,0.62961,0.62966,0.62635,0.62669,16585.730000000007
13.02.2025 20:00:00.000 GMT+1000,0.62668,0.62715,0.62544,0.62625,19857.99
14.02.2025 00:00:00.000 GMT+1000,0.62625,0.63029,0.62544,0.62882,28750.92
14.02.2025 04:00:00.000 GMT+1000,0.62881,0.63224,0.62694,0.63163,25509.089999999975
14.02.2025 08:00:00.000 GMT+1000,0.63158,0.63250,0.63100,0.63214,10405.390000000005
14.02.2025 12:00:00.000 GMT+1000,0.63213,0.63273,0.63153,0.63187,12058.719999999994
14.02.2025 16:00:00.000 GMT+1000,0.63186,0.63449,0.63176,0.63406,20187.459999999995
14.02.2025 20:00:00.000 GMT+1000,0.63406,0.63579,0.63317,0.63533,19000.73000000001
15.02.2025 00:00:00.000 GMT+1000,0.63532,0.63672,0.63521,0.63585,23215.719999999998
15.02.2025 04:00:00.000 GMT+1000,0.63585,0.63594,0.63475,0.63475,7219.790000000002
15.02.2025 08:00:00.000 GMT+1000,0.63475,0.63475,0.63475,0.63475,0
15.02.2025 12:00:00.000 GMT+1000,0.63475,0.63475,0.63475,0.63475,0
15.02.2025 16:00:00.000 GMT+1000,0.63475,0.63475,0.63475,0.63475,0
15.02.2025 20:00:00.000 GMT+1000,0.63475,0.63475,0.63475,0.63475,0
